EHI_number,sample_code,ENA accession,reads_pre_fastp,reads_post_fastp,bases_pre_fastp,bases_post_fastp,adapter_trimmed_reads,adapter_trimmed_bases,host_reads,metagenomic_bases,host_bases,reads_lost_fastp_percent,bases_lost_fastp_percent,bases_lost_fastp_percent_flat,adapter_percent,host_percent,host_percent_reads,singlem_fraction,average_genome_size,Indexed library molarity,Adaptor/library ratio,Index (from Sequence alias),latitude,longitude,Initial DNA for library (from IN Code) (from EHI_number),region,sample_type,bacterial_archaeal_bases,kappa,C,LR,modelR,LRstar,diversity,host_duplicate_fraction,Submit_PR,nonpareil_estimated_coverage,number_bins,sex,order,class,country,Capture ID,capture_id_flat,analysis
EHI02624,AJP61,ERR13998655,31305108,30573420,4695766200,4488036474,3763686,100133459,2235,4487685190,351284,2%,4%,0.044,2%,0%,0.00%,70.3,3025881,11.38,0.04,54,43.03,-1.18,121.9,Nafarroa,Faecal,2897550943,0.8288,0.8422,2243844698,0.9995,9075174654,19.1002,0.03,,24.73%,213,Male,Urodela,Amphibia,Spain,SD0384801,SD0384801,
EHI02625,AJP65,ERR13998522,17687404,17267788,2653110600,2536134769,2077512,54917547,131,2536111266,23503,2%,4%,0.044,2%,0%,0.00%,77.12,4166760,20.01,0.09,55,43.16,-1.91,200,Nafarroa,Faecal,1924368036,0.9046,0.9124,1268047234,0.9977,655510943,16.5257,0.02,,193.44%,239,Male,Urodela,Amphibia,Spain,SD0383901,SD0383901,
EHI02630,AJP60,ERR13998531,29121346,28285742,4368201900,4168764006,2849923,75820664,1737,4168505140,258866,3%,5%,0.046,2%,0%,0.00%,69.57,3603438,14.29,0.08,60,43.16,-1.91,192.7,Nafarroa,Faecal,2722174009,0.8416,0.8542,2084246184,0.9997,6796123283,18.9396,0.05,,30.67%,263,Male,Urodela,Amphibia,Spain,SD0384301,SD0384301,
EHI02632,AJP45,ERR13998533,31487016,29564630,4723052400,4350485732,3274251,87817167,4580,4349736893,748839,6%,8%,0.079,2%,0%,0.00%,67.64,2103621,13.91,0.04,62,43.03,-1.18,82.6,Nafarroa,Faecal,2693129170,0.843,0.8555,2174857245,0.9995,12984309811,18.269,0.07,,16.75%,203,Male,Urodela,Amphibia,Spain,SD0384701,SD0384701,
EHI02633,AJP44,ERR13998660,47586394,46457838,7137959100,6859876395,4447174,113383745,5159,6858973267,903128,2%,4%,0.039,2%,0%,0.00%,74.47,3388548,5.17,0.01,63,43.16,-1.91,11.8,Nafarroa,Faecal,4896413412,0.8815,0.8911,3429477729,0.9997,8021735492,18.9826,0.09,,42.75%,287,Male,Urodela,Amphibia,Spain,SD0383801,SD0383801,
EHI02639,AJP63,ERR13998540,71144786,69348342,10671717900,10203150298,7916901,200454826,6237,10202024014,1126284,3%,4%,0.044,2%,0%,0.00%,71.04,3086019,19.47,0.02,69,43.16,-1.91,18.1,Nafarroa,Faecal,6886750129,0.9001,0.9083,5100986559,0.9998,7914353226,18.8498,0.05,,64.45%,314,Male,Urodela,Amphibia,Spain,SD0384101,SD0384101,
EHI02693,AKD76,,45997632,44747100,6899644800,6532562372,6721046,200078335,501419,6434592808,97969564,3%,5%,0.053,3%,1%,1.10%,2.04,3999014,7.46,0.03,74,43.14,-1.91,13.9,Gipuzkoa,Skin swab: dorsal,112418090,0.5566,0.5853,3217252205,0.9969,3.14286E+13,20.2359,0.08,,0.01%,66,Male,Urodela,Amphibia,Spain,SD0385901,SD0385901,
EHI02694,AKD80,,24551142,23580262,3682671300,3452493048,3067824,100281432,266389,3399210437,53282611,4%,6%,0.063,3%,2%,1.10%,0.36,3722107,16.72,0.03,77,43.14,-1.91,12.3,Gipuzkoa,Skin swab: dorsal,5581569,0.5098,0.5402,1699580558,0.998,2.06214E+13,20.0731,0.06,,0.01%,66,Male,Urodela,Amphibia,Spain,SD0385601,SD0385601,
EHI02695,AKD77,,75730404,73348448,11359560600,10726931823,10162834,318828539,808794,10566875544,160056279,3%,6%,0.056,3%,1%,1.10%,1.81,3780402,14.12,0.03,198,43.14,-1.91,4.6,Gipuzkoa,Skin swab: ventral,168364664,0.6672,0.6908,5283382666,0.9949,9.41261E+12,19.8652,0.14,,0.06%,66,Male,Urodela,Amphibia,Spain,SD0385901,SD0385901,
EHI02696,AKD82,,76266110,74042446,11439916500,10846099887,10219913,289772303,195340,10807995953,38103934,3%,5%,0.052,3%,0%,0.30%,40.48,3327592,11.04,0.04,200,43,-1.17,2,Nafarroa,Skin swab: dorsal,4187001808,0.8057,0.8208,5403978699,0.9993,42629797612,19.7938,0.16,,12.68%,66,Male,Urodela,Amphibia,Spain,SD0383401,SD0383401,
EHI02697,AKD86,,42061632,40495940,6309244800,5926359774,5485437,177223462,429040,5841541468,84818306,4%,6%,0.061,3%,1%,1.10%,8.15,4053660,11.64,0.04,201,43.03,-1.18,3.5,Nafarroa,Skin swab: dorsal,437603503,0.6081,0.6347,2920733065,0.9946,7.77608E+12,20.0175,0.12,,0.04%,66,Male,Urodela,Amphibia,Spain,SD0384801,SD0384801,
