##source=lorikeet-v0.8.2
##sample=<ID=1, name=filtered/EHA03360_bin.2/PRB0174_EHI02067_DMB0156.bam>
##sample=<ID=2, name=filtered/EHA03360_bin.2/PRB0174_EHI02065_DMB0156.bam>
##sample=<ID=3, name=filtered/EHA03360_bin.2/PRB0237_EHI02617_DMB0156.bam>
##sample=<ID=4, name=filtered/EHA03360_bin.2/PRB0164_EHI01968_DMB0156.bam>
##sample=<ID=5, name=filtered/EHA03360_bin.2/PRB0237_EHI02630_DMB0156.bam>
##sample=<ID=6, name=filtered/EHA03360_bin.2/PRB0237_EHI02639_DMB0156.bam>
##sample=<ID=7, name=filtered/EHA03360_bin.2/PRB0237_EHI02607_DMB0156.bam>
##sample=<ID=8, name=filtered/EHA03360_bin.2/PRB0237_EHI02582_DMB0156.bam>
##sample=<ID=9, name=filtered/EHA03360_bin.2/PRB0237_EHI02612_DMB0156.bam>
##sample=<ID=10, name=filtered/EHA03360_bin.2/PRB0237_EHI02619_DMB0156.bam>
##sample=<ID=11, name=filtered/EHA03360_bin.2/PRB0164_EHI01985_DMB0156.bam>
##sample=<ID=12, name=filtered/EHA03360_bin.2/PRB0164_EHI01966_DMB0156.bam>
##sample=<ID=13, name=filtered/EHA03360_bin.2/PRB0237_EHI02615_DMB0156.bam>
##sample=<ID=14, name=filtered/EHA03360_bin.2/PRB0237_EHI02695_DMB0156.bam>
##sample=<ID=15, name=filtered/EHA03360_bin.2/PRB0237_EHI02592_DMB0156.bam>
##sample=<ID=16, name=filtered/EHA03360_bin.2/PRB0237_EHI02585_DMB0156.bam>
##sample=<ID=17, name=filtered/EHA03360_bin.2/PRB0237_EHI02602_DMB0156.bam>
##sample=<ID=18, name=filtered/EHA03360_bin.2/PRB0237_EHI02632_DMB0156.bam>
##sample=<ID=19, name=filtered/EHA03360_bin.2/PRB0237_EHI02698_DMB0156.bam>
##sample=<ID=20, name=filtered/EHA03360_bin.2/PRB0237_EHI02697_DMB0156.bam>
##sample=<ID=21, name=filtered/EHA03360_bin.2/PRB0237_EHI02624_DMB0156.bam>
##sample=<ID=22, name=filtered/EHA03360_bin.2/PRB0237_EHI02693_DMB0156.bam>
##sample=<ID=23, name=filtered/EHA03360_bin.2/PRB0174_EHI02088_DMB0156.bam>
##sample=<ID=24, name=filtered/EHA03360_bin.2/PRB0164_EHI01995_DMB0156.bam>
##sample=<ID=25, name=filtered/EHA03360_bin.2/PRB0174_EHI02097_DMB0156.bam>
##sample=<ID=26, name=filtered/EHA03360_bin.2/PRB0164_EHI01970_DMB0156.bam>
##sample=<ID=27, name=filtered/EHA03360_bin.2/PRB0237_EHI02633_DMB0156.bam>
##sample=<ID=28, name=filtered/EHA03360_bin.2/PRB0237_EHI02598_DMB0156.bam>
##sample=<ID=29, name=filtered/EHA03360_bin.2/PRB0164_EHI01989_DMB0156.bam>
##sample=<ID=30, name=filtered/EHA03360_bin.2/PRB0174_EHI02079_DMB0156.bam>
##sample=<ID=31, name=filtered/EHA03360_bin.2/PRB0237_EHI02696_DMB0156.bam>
##sample=<ID=32, name=filtered/EHA03360_bin.2/PRB0164_EHI01967_DMB0156.bam>
##sample=<ID=33, name=filtered/EHA03360_bin.2/PRB0164_EHI01992_DMB0156.bam>
##sample=<ID=34, name=filtered/EHA03360_bin.2/PRB0174_EHI02105_DMB0156.bam>
##sample=<ID=35, name=filtered/EHA03360_bin.2/PRB0164_EHI01979_DMB0156.bam>
##sample=<ID=36, name=filtered/EHA03360_bin.2/PRB0164_EHI01982_DMB0156.bam>
##sample=<ID=37, name=filtered/EHA03360_bin.2/PRB0237_EHI02625_DMB0156.bam>
##sample=<ID=38, name=filtered/EHA03360_bin.2/PRB0237_EHI02603_DMB0156.bam>
##sample=<ID=39, name=filtered/EHA03360_bin.2/PRB0237_EHI02584_DMB0156.bam>
##sample=<ID=40, name=filtered/EHA03360_bin.2/PRB0237_EHI02587_DMB0156.bam>
##sample=<ID=41, name=filtered/EHA03360_bin.2/PRB0237_EHI02694_DMB0156.bam>
SampleID  	1       	2       	3       	4       	5       	6       	7       	8       	9       	10      	11      	12      	13      	14      	15      	16      	17      	18      	19      	20      	21      	22      	23      	24      	25      	26      	27      	28      	29      	30      	31      	32      	33      	34      	35      	36      	37      	38      	39      	40      	41      
21	0.99892449	0.99357140	0.99583852	0.99352252	0.99282330	0.99444205	0.99962676	0.99650079	0.99825096	0.99262124	0.99905860	NaN	1.00000000	NaN	0.99577612	0.99879926	0.99935687	1.00000000	NaN	NaN	0.98525447	NaN	0.99870867	0.99934566	0.99308211	0.99931002	0.99500102	0.99831665	0.98536640	0.99515879	NaN	0.99479210	0.99938864	0.99884295	0.99014086	0.98648649	NaN	0.99508256	1.00000000	0.99883682	NaN
22	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
23	0.99950236	0.99293005	0.99467969	0.99266636	0.99407673	0.99402988	0.99866891	0.99746352	0.99930006	0.99526191	0.99949282	0.94642860	0.99975979	NaN	0.99642700	0.99938530	0.99957758	1.00000000	NaN	NaN	0.99870867	NaN	0.98519546	0.99896246	0.99358135	0.99849194	0.99404114	0.99945360	0.98645991	0.99396920	NaN	0.99481308	0.99984598	0.99951273	0.99047476	0.98850572	NaN	0.99485165	0.99894518	0.99966937	NaN
24	0.99916047	0.99672729	0.99745166	0.99734300	0.99767852	0.99753624	0.99941128	0.99912661	0.99792469	0.99596196	0.99858606	NaN	0.99941468	NaN	0.99890351	0.99938142	0.99895746	NaN	NaN	NaN	0.99934566	NaN	0.99896246	0.99240559	0.99762809	0.99837160	0.99800551	0.99891776	0.99358624	0.99722254	NaN	0.99791759	0.99907672	0.99955356	0.99818337	NaN	NaN	0.99776757	0.99888515	0.99858159	NaN
25	0.99388307	0.99858880	0.99692667	0.99804896	0.99631417	0.99655455	0.99407238	0.99922436	0.99694872	0.99393058	0.99497318	1.00000000	0.99520141	NaN	0.99965626	0.99494976	0.99337894	1.00000000	NaN	NaN	0.99308211	NaN	0.99358135	0.99762809	0.99414200	0.99622792	0.99734926	0.99517769	0.99474382	0.99870831	NaN	0.99743569	0.99642211	0.99521101	0.99653107	1.00000000	1.00000000	0.99774319	0.99605399	0.99459636	NaN
26	0.99864477	0.99594963	0.99735451	0.99645019	0.99487227	0.99681896	0.99926037	0.99746561	0.99838972	0.99595791	0.99904388	NaN	1.00000000	NaN	0.99645931	0.99848443	0.99918544	NaN	NaN	NaN	0.99931002	NaN	0.99849194	0.99837160	0.99622792	0.99203575	0.99728745	0.99909121	0.99219507	0.99725527	NaN	0.99812567	0.99876577	0.99832028	0.99578905	0.99038464	NaN	0.99627560	0.99952269	0.99897349	NaN
27	0.99441737	0.99830496	0.99825466	0.99818301	0.99590236	0.99746180	0.99516308	0.99782032	0.99637067	0.99299520	0.99526858	NaN	0.99602723	NaN	0.99964678	0.99574286	0.99598885	1.00000000	NaN	NaN	0.99500102	NaN	0.99404114	0.99800551	0.99734926	0.99728745	0.99553806	0.99536598	0.99641782	0.99862349	NaN	0.99743050	0.99694717	0.99467653	0.99743724	1.00000000	1.00000000	0.99744654	0.99613154	0.99603415	NaN
28	0.99916977	0.99410558	0.99600089	0.99409288	0.99435133	0.99528646	0.99862921	0.99841142	0.99912345	0.99498212	0.99951154	NaN	0.99887735	NaN	0.99642491	0.99910510	0.99915439	1.00000000	NaN	NaN	0.99831665	NaN	0.99945360	0.99891776	0.99517769	0.99909121	0.99536598	0.98820883	0.98903263	0.99543917	NaN	0.99579114	0.99964988	0.99980098	0.99308044	1.00000000	NaN	0.99588227	0.99951595	0.99950069	NaN
29	0.98705822	0.99447221	0.99705476	0.99247944	0.99503362	0.99664092	0.98713726	0.99458778	0.99026793	0.99170560	0.99015707	1.00000000	0.98694360	NaN	0.99408138	0.98862362	0.98606336	1.00000000	NaN	NaN	0.98536640	NaN	0.98645991	0.99358624	0.99474382	0.99219507	0.99641782	0.98903263	0.99914634	0.99518460	NaN	0.99629295	0.99057531	0.98844033	0.99842978	1.00000000	1.00000000	0.99426061	0.98879260	0.98823446	NaN
30	0.99446601	0.99913627	0.99760574	0.99850559	0.99695301	0.99749470	0.99496037	0.99838448	0.99722385	0.99528176	0.99542034	1.00000000	0.99570024	NaN	0.99967939	0.99547708	0.99438286	1.00000000	NaN	NaN	0.99515879	NaN	0.99396920	0.99722254	0.99870831	0.99725527	0.99862349	0.99543917	0.99518460	0.99419820	NaN	0.99896324	0.99738193	0.99613017	0.99726427	0.98507464	NaN	0.99772453	0.99528301	0.99622595	NaN
31	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
32	0.99535662	0.99875993	0.99770218	0.99823904	0.99762040	0.99771929	0.99502718	0.99952894	0.99683368	0.99748814	0.99566078	1.00000000	0.99474633	NaN	0.99969190	0.99642265	0.99474102	1.00000000	NaN	NaN	0.99479210	NaN	0.99481308	0.99791759	0.99743569	0.99812567	0.99743050	0.99579114	0.99629295	0.99896324	NaN	0.99442834	0.99664551	0.99596995	0.99776787	NaN	1.00000000	0.99805707	0.99541885	0.99644089	NaN
33	0.99979627	0.99519283	0.99611294	0.99584353	0.99600965	0.99535275	0.99883258	0.99850148	0.99963582	0.99500650	0.99938607	1.00000000	1.00000000	NaN	0.99685204	0.99973279	0.99938393	1.00000000	NaN	NaN	0.99938864	NaN	0.99984598	0.99907672	0.99642211	0.99876577	0.99694717	0.99964988	0.99057531	0.99738193	NaN	0.99664551	0.99011856	0.99961531	0.99465132	1.00000000	NaN	0.99690247	0.99942595	0.99979454	NaN
34	0.99947774	0.99472654	0.99668479	0.99409986	0.99508578	0.99615687	0.99907237	0.99785733	0.99930876	0.99600589	0.99923044	NaN	0.99983764	NaN	0.99527347	0.99941444	0.99932134	NaN	NaN	NaN	0.99884295	NaN	0.99951273	0.99955356	0.99521101	0.99832028	0.99467653	0.99980098	0.98844033	0.99613017	NaN	0.99596995	0.99961531	0.98744541	0.99236071	1.00000000	NaN	0.99563092	0.99897957	0.99947357	NaN
