##source=lorikeet-v0.8.2
##sample=<ID=1, name=filtered/EHA04492_bin.49/PRB0174_EHI02067_DMB0156.bam>
##sample=<ID=2, name=filtered/EHA04492_bin.49/PRB0174_EHI02065_DMB0156.bam>
##sample=<ID=3, name=filtered/EHA04492_bin.49/PRB0237_EHI02617_DMB0156.bam>
##sample=<ID=4, name=filtered/EHA04492_bin.49/PRB0164_EHI01968_DMB0156.bam>
##sample=<ID=5, name=filtered/EHA04492_bin.49/PRB0237_EHI02630_DMB0156.bam>
##sample=<ID=6, name=filtered/EHA04492_bin.49/PRB0237_EHI02639_DMB0156.bam>
##sample=<ID=7, name=filtered/EHA04492_bin.49/PRB0237_EHI02607_DMB0156.bam>
##sample=<ID=8, name=filtered/EHA04492_bin.49/PRB0237_EHI02582_DMB0156.bam>
##sample=<ID=9, name=filtered/EHA04492_bin.49/PRB0237_EHI02612_DMB0156.bam>
##sample=<ID=10, name=filtered/EHA04492_bin.49/PRB0237_EHI02619_DMB0156.bam>
##sample=<ID=11, name=filtered/EHA04492_bin.49/PRB0164_EHI01985_DMB0156.bam>
##sample=<ID=12, name=filtered/EHA04492_bin.49/PRB0164_EHI01966_DMB0156.bam>
##sample=<ID=13, name=filtered/EHA04492_bin.49/PRB0237_EHI02615_DMB0156.bam>
##sample=<ID=14, name=filtered/EHA04492_bin.49/PRB0237_EHI02695_DMB0156.bam>
##sample=<ID=15, name=filtered/EHA04492_bin.49/PRB0237_EHI02592_DMB0156.bam>
##sample=<ID=16, name=filtered/EHA04492_bin.49/PRB0237_EHI02585_DMB0156.bam>
##sample=<ID=17, name=filtered/EHA04492_bin.49/PRB0237_EHI02602_DMB0156.bam>
##sample=<ID=18, name=filtered/EHA04492_bin.49/PRB0237_EHI02632_DMB0156.bam>
##sample=<ID=19, name=filtered/EHA04492_bin.49/PRB0237_EHI02698_DMB0156.bam>
##sample=<ID=20, name=filtered/EHA04492_bin.49/PRB0237_EHI02697_DMB0156.bam>
##sample=<ID=21, name=filtered/EHA04492_bin.49/PRB0237_EHI02624_DMB0156.bam>
##sample=<ID=22, name=filtered/EHA04492_bin.49/PRB0237_EHI02693_DMB0156.bam>
##sample=<ID=23, name=filtered/EHA04492_bin.49/PRB0174_EHI02088_DMB0156.bam>
##sample=<ID=24, name=filtered/EHA04492_bin.49/PRB0164_EHI01995_DMB0156.bam>
##sample=<ID=25, name=filtered/EHA04492_bin.49/PRB0174_EHI02097_DMB0156.bam>
##sample=<ID=26, name=filtered/EHA04492_bin.49/PRB0164_EHI01970_DMB0156.bam>
##sample=<ID=27, name=filtered/EHA04492_bin.49/PRB0237_EHI02633_DMB0156.bam>
##sample=<ID=28, name=filtered/EHA04492_bin.49/PRB0237_EHI02598_DMB0156.bam>
##sample=<ID=29, name=filtered/EHA04492_bin.49/PRB0164_EHI01989_DMB0156.bam>
##sample=<ID=30, name=filtered/EHA04492_bin.49/PRB0174_EHI02079_DMB0156.bam>
##sample=<ID=31, name=filtered/EHA04492_bin.49/PRB0237_EHI02696_DMB0156.bam>
##sample=<ID=32, name=filtered/EHA04492_bin.49/PRB0164_EHI01967_DMB0156.bam>
##sample=<ID=33, name=filtered/EHA04492_bin.49/PRB0164_EHI01992_DMB0156.bam>
##sample=<ID=34, name=filtered/EHA04492_bin.49/PRB0174_EHI02105_DMB0156.bam>
##sample=<ID=35, name=filtered/EHA04492_bin.49/PRB0164_EHI01979_DMB0156.bam>
##sample=<ID=36, name=filtered/EHA04492_bin.49/PRB0164_EHI01982_DMB0156.bam>
##sample=<ID=37, name=filtered/EHA04492_bin.49/PRB0237_EHI02625_DMB0156.bam>
##sample=<ID=38, name=filtered/EHA04492_bin.49/PRB0237_EHI02603_DMB0156.bam>
##sample=<ID=39, name=filtered/EHA04492_bin.49/PRB0237_EHI02584_DMB0156.bam>
##sample=<ID=40, name=filtered/EHA04492_bin.49/PRB0237_EHI02587_DMB0156.bam>
##sample=<ID=41, name=filtered/EHA04492_bin.49/PRB0237_EHI02694_DMB0156.bam>
SampleID  	1       	2       	3       	4       	5       	6       	7       	8       	9       	10      	11      	12      	13      	14      	15      	16      	17      	18      	19      	20      	21      	22      	23      	24      	25      	26      	27      	28      	29      	30      	31      	32      	33      	34      	35      	36      	37      	38      	39      	40      	41      
21	0.99905837	0.99697495	0.99640614	0.99526066	1.00000000	0.99364573	1.00000000	1.00000000	1.00000000	0.99459803	0.99762285	1.00000000	0.99922025	NaN	1.00000000	0.99891156	0.99878639	0.99746448	NaN	NaN	0.99269706	NaN	0.99824715	0.99559957	0.99718410	0.99931365	0.99945682	0.99877822	0.99585307	0.99763036	NaN	1.00000000	1.00000000	0.99904764	0.99779248	1.00000000	1.00000000	0.99581152	0.99941486	0.99909502	NaN
22	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
23	0.99906397	0.99515432	0.99509043	0.99680638	0.99700421	0.99249732	0.99864680	1.00000000	0.99772829	0.99316317	0.99553818	1.00000000	0.99599540	NaN	1.00000000	0.99806672	0.99455255	0.99857092	NaN	NaN	0.99824715	NaN	0.99268585	0.99665803	0.99517012	0.99908674	0.99847281	0.99882406	0.99540365	0.99704653	NaN	0.99831653	0.99767768	0.99770117	0.99659431	1.00000000	1.00000000	0.99537575	0.99750936	0.99339205	NaN
24	0.99445325	0.99332219	0.99355876	0.99073118	0.99874842	0.98450136	1.00000000	1.00000000	0.99727768	0.98519039	0.99325085	1.00000000	0.99615753	NaN	1.00000000	0.99721640	0.99581152	0.99409783	NaN	NaN	0.99559957	NaN	0.99665803	0.98382747	0.99076706	1.00000000	0.99872935	0.99443287	0.99207747	0.99608761	NaN	1.00000000	0.99692309	0.99638551	0.99277604	1.00000000	1.00000000	0.99317408	0.99640030	0.99635035	NaN
25	0.99665856	0.99992669	0.99891365	0.99882358	0.99840587	0.99872082	0.99612254	0.99715507	0.99566537	0.99894679	0.98971999	0.99630994	0.99566931	NaN	0.99470431	0.99459863	0.99262899	0.99367720	NaN	NaN	0.99718410	NaN	0.99517012	0.99076706	0.99929750	0.99761146	0.99882758	0.99377203	0.99866343	0.99990201	NaN	0.99870449	0.99262267	0.99592668	0.99889559	0.99854016	0.99894291	0.99836653	0.99416703	0.99615753	NaN
26	0.99941522	0.99693602	0.99653977	0.99879009	0.99620640	0.99613005	0.99934638	0.99702382	0.99853694	0.99691355	0.99680763	1.00000000	0.99911737	NaN	0.99854863	0.99911970	1.00000000	0.99915540	NaN	NaN	0.99931365	NaN	0.99908674	1.00000000	0.99761146	0.99483395	0.99795252	0.99868768	0.99838448	0.99720782	NaN	0.99745333	0.99812204	0.99867022	0.99874133	0.99854016	1.00000000	0.99826390	0.99887067	0.99742270	NaN
27	0.99850130	0.99900055	0.99895287	0.99908930	0.99866921	0.99841797	0.99942559	0.99639857	0.99943912	0.99952453	0.99429822	0.99713469	0.99926579	NaN	0.99917966	0.99716473	0.99735796	0.99855697	NaN	NaN	0.99945682	NaN	0.99847281	0.99872935	0.99882758	0.99795252	0.99885958	0.99849349	0.99939603	0.99844718	NaN	0.99851900	0.99867201	0.99954629	0.99936372	1.00000000	0.99619770	0.99911863	0.99917114	0.99080884	NaN
28	0.99754524	0.99664593	0.99533921	0.99579978	0.99724823	0.99149859	0.99968237	1.00000000	0.99780989	0.99076796	0.99728113	1.00000000	0.99932224	NaN	1.00000000	0.99869597	0.99732906	0.99799401	NaN	NaN	0.99877822	NaN	0.99882406	0.99443287	0.99377203	0.99868768	0.99849349	0.99100751	0.99349594	0.99632186	NaN	0.99556869	0.99859995	0.99925596	0.99870354	1.00000000	1.00000000	0.99430197	0.99886829	0.99614197	NaN
29	0.99682540	0.99899411	0.99894184	0.99889427	0.99707222	0.99862981	0.99538463	1.00000000	0.99416345	0.99931842	0.98978531	1.00000000	0.99475658	NaN	0.99887764	0.99513382	0.99221033	0.99513382	NaN	NaN	0.99585307	NaN	0.99540365	0.99207747	0.99866343	0.99838448	0.99939603	0.99349594	0.99879789	0.99882346	NaN	0.99878693	0.98952514	0.99654698	0.99919218	1.00000000	1.00000000	0.99886358	0.99170810	0.98845267	NaN
30	0.99809343	0.99983108	0.99885339	0.99838948	0.99727523	0.99868679	0.99711937	0.99869621	0.99688751	0.99879295	0.99227202	0.99426931	0.99588668	NaN	0.99818349	0.99531716	0.99487835	0.99618173	NaN	NaN	0.99763036	NaN	0.99704653	0.99608761	0.99990201	0.99720782	0.99844718	0.99632186	0.99882346	0.99917817	NaN	0.99876028	0.99348110	0.99766761	0.99909562	0.99844480	1.00000000	0.99860454	0.99548787	0.99341488	NaN
