sample	EHI01966	EHI01967	EHI01968	EHI01970	EHI01979	EHI01982	EHI01985	EHI01989	EHI01992	EHI01995	EHI02065	EHI02067	EHI02079	EHI02088	EHI02097	EHI02105	EHI02582	EHI02584	EHI02585	EHI02587	EHI02592	EHI02598	EHI02602	EHI02603	EHI02607	EHI02612	EHI02615	EHI02617	EHI02619	EHI02624	EHI02630	EHI02632	EHI02633	EHI02639	EHI02697	EHI02951	EHI02953	EHI02954	EHI02955	EHI02957	EHI02965	EHI02972	EHI02973	EHI02975	EHI02976	EHI02977	EHI02979	EHI02980	EHI02981	EHI02982	EHI02983	EHI02984	EHI02985	EHI02986	EHI02987	EHI02988
EHI02065	0.04508847191483667	0.04580458145795718	0.043502809345267845	0.041535789979778914	0.06201469975690066	0.05691108986031246	0.04641661869569258	0.04357349154555923	0.04732854153965116	0.05260645102281236	0.0	0.09239211657724866	0.06068207641447054	0.08326727853522997	0.06234027800827213	0.09056379564448458	0.07095631660671853	0.04931262323336594	0.04685084950192464	0.06151338740210732	0.04904625968011911	0.05361025526116692	0.04799444167248845	0.07386495346949518	0.04485474627122055	0.0480269233130618	0.06776312944381802	0.047433125482832295	0.051875560520895925	0.04804991926584168	0.04740134557674203	0.05549901822022063	0.060580091007046644	0.06112290716964186	0.15660517754339254	0.14420794906681966	0.1571373104177346	0.14259722994691393	0.14408600284577477	0.1432177437625861	0.12454046080379966	0.13817536357634874	0.14045183131946026	0.14617538520562712	0.15226674786245575	0.13492641530637128	0.15941020130309091	0.14850121836304175	0.14695028234956697	0.15324660604939788	0.14922539562189918	0.12134082253037604	0.1282419746972755	0.15040781052248198	0.10247491939364484	0.15525566619507591
EHI02067	0.09947332662293507	0.0584616572447203	0.08259026768698008	0.08602007694487956	0.13303054772357303	0.04605197251952753	0.10069193045420799	0.09714427417446792	0.1048301955873796	0.04903821804359387	0.09239211657724866	0.0	0.0535067268121886	0.05318001460706523	0.0826974236599749	0.05335688562040808	0.14022359530278072	0.10940633489738216	0.07814593248769208	0.05390462077961311	0.07117728070697837	0.11437903845625097	0.10497814384528703	0.03982857123100003	0.0811702960987889	0.10040895074322342	0.14021719548671963	0.09703673931225376	0.10772471106016268	0.07239100744912286	0.09951797205560164	0.06821110964581223	0.05892997561502411	0.052102869215766456	0.054638279393753764	0.043458200245137135	0.05268046736939913	0.04531602848714811	0.04636059051784647	0.04535881975902856	0.04346881746861464	0.04121446034718823	0.04158034492777529	0.04695370298370605	0.05414808331275023	0.04895960079423156	0.05729230631974436	0.04764248804832005	0.051246377950392	0.05478714977079002	0.052403373100808115	0.046113722112995026	0.04744542781898842	0.05146376528609564	0.04943277144995295	0.05111722444949485
EHI02079	0.06263330215157914	0.03553510634192214	0.050373524805146785	0.05353476537535473	0.09281791033075848	0.03458462260290063	0.06439570110748616	0.06331505118552883	0.07090851338947601	0.034096725732041144	0.06068207641447054	0.0535067268121886	0.0	0.05358587774493129	0.0562201002939251	0.05819194330879596	0.10538782751350018	0.07031203636663397	0.04938041817742167	0.040557288484387444	0.044424056153228086	0.07740732991975818	0.06601444560002123	0.04319706932904965	0.050399019646292564	0.06504829752914298	0.09961871038726755	0.06305093214151247	0.07245192045991233	0.04525629596399605	0.06476818716651755	0.04583421667336418	0.044123778068295594	0.03973006258990641	0.10521385822070406	0.09366540091237541	0.10640400745204914	0.09467570426501637	0.0965720323647784	0.09476598281263526	0.08124747332412452	0.09063824623234396	0.0895315586397748	0.09501913328745326	0.10440880121588436	0.09131973960358741	0.10945565210531072	0.09760207121956399	0.09786117665812621	0.10355406547055179	0.10008640769254118	0.08024400210590887	0.0845213458031745	0.10107931710817197	0.0660874681414606	0.10241284484029967
EHI02088	0.0873951196761894	0.05297084072375702	0.07254583443059304	0.07585265795041052	0.11896750758440244	0.046574017801012224	0.0875003144440033	0.08622255336146645	0.09497999567762927	0.04742465631620596	0.08326727853522997	0.05318001460706523	0.05358587774493129	0.0	0.07622309575981201	0.06342213072772451	0.12870826642553845	0.09517329757496562	0.06941655305364336	0.053192090391220526	0.06384937969443649	0.10258634619523588	0.08997647140931886	0.048101611259162236	0.07194190313941529	0.08783305198500346	0.12456037454549229	0.08662938618663496	0.09551972675694187	0.0638258238828121	0.0880573459299534	0.0623619744655749	0.05684952311133029	0.052298727725460736	0.09822173376274135	0.08725801922429488	0.09842208153558529	0.08844484205639458	0.0890597740735759	0.08840590156295691	0.0776835023750202	0.08449327176547827	0.08357569057219694	0.08937216925902602	0.0985469276472618	0.08603326260293598	0.10154037798957838	0.09042114395625234	0.09266455326650103	0.097515816051011	0.09345579129962445	0.0761110189662656	0.08101491669378069	0.0941863624479502	0.06803500400294582	0.09654768948615111
EHI02097	0.06281762637567645	0.04669920412332129	0.05358210890865789	0.055131417825492024	0.08843579758284958	0.05225959423339277	0.06346264558598846	0.06181184051517874	0.06832683107864523	0.04904305132387954	0.06234027800827213	0.0826974236599749	0.0562201002939251	0.07622309575981201	0.0	0.08088295458987704	0.09823072696570934	0.06860600435167274	0.05477560708527862	0.05687314667474552	0.05354673977826152	0.07564773669229696	0.06612641916391904	0.0663073265588151	0.055399856298334216	0.06492396535372746	0.09378989010030214	0.06376150775717737	0.07088268008743637	0.052657785936548906	0.06463328729928819	0.0570984622992019	0.05912732011439159	0.05770817076278456	0.13895848300539182	0.1290256759370323	0.14094202501238884	0.12943505905258623	0.13107364505432761	0.12977019004120038	0.11178587255574524	0.12407339622774538	0.12308979609944537	0.12837843505630586	0.1389197488612891	0.12200611517781756	0.14368578165476797	0.1308124633897615	0.12944921210829685	0.13788222096222202	0.13328034674143308	0.10729400415911505	0.11433843438211067	0.1337084752821568	0.09273546511395614	0.13687477362155964
EHI02105	0.09554247563720586	0.058634707391233	0.0783307236659413	0.0834664234933884	0.1271569603187549	0.051130023834489724	0.0954817395685521	0.09451053301325651	0.10337193694164348	0.05217184132623698	0.09056379564448458	0.05335688562040808	0.05819194330879596	0.06342213072772451	0.08088295458987704	0.0	0.1346141276685362	0.10256292845827975	0.07664185719369765	0.05711375824680198	0.07021986777324773	0.11216571379395202	0.09879838066732516	0.05186006432117285	0.07835659469333045	0.09602241259462951	0.1319033332616223	0.09326103244594275	0.10370044564884895	0.0704068709252118	0.09605093473484372	0.0691476855264469	0.06222605486477717	0.05675771058341916	0.09662332591205924	0.08583617350101902	0.09670254357508978	0.08617361335776075	0.08790472241007807	0.08645405267635975	0.076745862604783	0.08263435374316563	0.08214141535492925	0.08734117203424907	0.09678722321945632	0.08482529914259918	0.09920157016532083	0.08920435431338791	0.09115904435391464	0.09551854262216519	0.09199371139650014	0.07546542862501948	0.0808416323818052	0.09251726047400599	0.06884436925152493	0.09463906636179575
EHI02582	0.06490624730947447	0.08498787228112448	0.07415724731967399	0.07040810335045888	0.05522297160973988	0.10172492808382716	0.06480408081312306	0.0608395548478976	0.06272349754505402	0.09896258819048287	0.07095631660671853	0.14022359530278072	0.10538782751350018	0.12870826642553845	0.09823072696570934	0.1346141276685362	0.0	0.06073607591323982	0.07963142092962228	0.10708506780426785	0.08479741280211406	0.06051201482581725	0.06876401697339429	0.11978180885665479	0.0766934367104889	0.0711998872555959	0.060326584437095265	0.06917470814410498	0.06697271399157079	0.08236488766658956	0.06605604871746795	0.09403157128663564	0.1050720146741011	0.1069809595645208	0.20127778689144238	0.1936010121726648	0.19618724791853892	0.19335426018454827	0.19648119131955555	0.19393823664905652	0.17211750499639622	0.18656828914324497	0.18239415195126396	0.18538851233171472	0.2017618984029993	0.18010012330310232	0.19949310756428273	0.20040560861263068	0.19036783868562845	0.1920723752187149	0.19760908347139794	0.16809792480112784	0.17905342879511776	0.19565118356905653	0.1499273545932387	0.1944675398335063
EHI02584	0.04468436455818392	0.054276199706455475	0.046602624078519894	0.04447697961587893	0.053087432024974346	0.06800421154047598	0.04348834071943786	0.040287758358205195	0.04214144933482156	0.06306565077716142	0.04931262323336594	0.10940633489738216	0.07031203636663397	0.09517329757496562	0.06860600435167274	0.10256292845827975	0.06073607591323982	0.0	0.05124560136885237	0.07139265681149987	0.05608755726086323	0.04803367358321087	0.046034740513404726	0.08711658544241274	0.04847361506133652	0.04857281948090475	0.057110696238128256	0.04941943913383151	0.04879036227830469	0.05418449209985532	0.046389200601847036	0.06318186996141639	0.07152358177331464	0.07228649826135591	0.1637309457851125	0.15171817478822858	0.1623975541441789	0.15086201135706034	0.15127443559778297	0.15147664739822342	0.1386999890021391	0.14874030797283244	0.14891727042893943	0.15127387394542668	0.16123524900298536	0.1468493910248878	0.16748043407383273	0.1561377563939509	0.15431609746721564	0.15993708880956092	0.15636016929631258	0.13575527308237056	0.14121527188784333	0.1593321367099051	0.11908978911152279	0.1595105185641117
EHI02585	0.04503388823845067	0.03619056705264778	0.039038838348033233	0.03880378951006702	0.06843438387722534	0.043871749263603266	0.045825627815448744	0.04518306509636549	0.05101219252457234	0.040549077479916096	0.04685084950192464	0.07814593248769208	0.04938041817742167	0.06941655305364336	0.05477560708527862	0.07664185719369765	0.07963142092962228	0.05124560136885237	0.0	0.04870354299644675	0.041566090728810345	0.057305169952097335	0.04853177487740701	0.059336376184069395	0.039638047381745034	0.0477564407044736	0.07571044710288732	0.047979440329162126	0.05288959000317206	0.04030939063322281	0.04785465389348231	0.04597716620837844	0.050021818734190315	0.04889047717735273	0.13484422875898938	0.12171832793816051	0.1348865223112431	0.12178032059685417	0.12297540915177785	0.1250539355623459	0.10789552006622649	0.1175136997497711	0.11675081822687472	0.12327231510814884	0.13115793162288114	0.11780405046226305	0.13717903738592974	0.12406433018527663	0.12506748848754656	0.1303989069776459	0.12693453562407964	0.10352602212193429	0.11207979782493116	0.12786162651007615	0.08782789489770626	0.13016224705935708
EHI02587	0.06335854094114235	0.035514011151929537	0.050968909909754556	0.05308051636147859	0.09282290441693797	0.03436294052557276	0.06446370428867554	0.06343718170502455	0.07215769745822764	0.03311627198956646	0.06151338740210732	0.05390462077961311	0.040557288484387444	0.053192090391220526	0.05687314667474552	0.05711375824680198	0.10708506780426785	0.07139265681149987	0.04870354299644675	0.0	0.043833712762728294	0.07838336359065967	0.06521499603796865	0.041364465484201696	0.050138459502549915	0.06406851227601285	0.09997230864295459	0.0629310089934525	0.07243956665490514	0.043754921927019796	0.0651539374769936	0.04500624313207191	0.04297535702366595	0.039333316861612455	0.10526061749818083	0.0917128450448279	0.10367023472229675	0.09254483867036245	0.09497098576233653	0.09390487448983731	0.0816277568565762	0.0889286140671054	0.0892856392550434	0.09423093712980735	0.10279708470068805	0.09014660358038384	0.10798991851081774	0.09646933582686146	0.09635498243425833	0.10229765741169561	0.09879159691263317	0.07855128213979967	0.08452660334935791	0.09964697249410615	0.06629213770318831	0.10163398963647485
